Item1,Item2.X,Item2.Y
48682718.8608,99.30495,779.7353
48682750.7456,99.30495,779.7353
48682767.5648,100.1779,782.6478
48682800.2688,100.3286,778.6346
48682830.2336,99.60979,779.858
48682878.4512,99.9456,782.4202
48682912.2304,99.73086,780.3721
48682942.336,99.73086,780.3721
48682959.0016,99.50063,779.7673
48682992.0896,99.68362,782.2675
48683038.5024,99.79939,782.6546
48683070.8096,99.62996,780.3779
48683118.1312,99.61034,780.9928
48683149.7472,99.61034,780.9928
48683171.84,99.52082,780.2325
48683198.016,99.52438,779.4095
48683230.4768,99.49537,779.9716
48683281.152,99.71321,779.9656
48683310.528,99.25284,780.7068
48683342.0288,99.25284,780.7068
48683361.344,99.31607,780.1336
48683390.5536,99.27728,780.0002
48683438.6176,99.58965,781.0359
48683470.6176,99.46125,779.8103
48683519.3856,100.0695,780.1904
48683551.3216,100.0695,780.1904
48683569.9456,99.86751,779.5527
48683599.8464,100.0293,779.2712
48683630.7072,99.23917,779.6722
48683680.5888,99.77316,781.869
48683711.6288,99.4921,779.7066
48683743.4624,99.4921,779.7066
48683763.4048,99.73318,780.0123
48683790.4512,99.29412,779.8619
48683840.896,99.54147,780.6543
48683871.1296,99.10057,780.5107
48683918.1184,100.1446,779.6769
48683951.7952,100.1446,779.6769
48683968.256,99.78175,778.9834
48684000.2048,99.81139,779.4946
48684031.5264,99.83533,779.5892
48684078.8992,100.0844,778.7438
48684111.0912,99.71569,779.477
48684142.72,99.71569,779.477
48684160,99.57594,779.6694
48684190.5152,99.91923,779.758
48684239.1424,100.786,778.8632
48684270.2464,99.70805,780.5413
48684319.936,99.85979,779.6016
48684350.7456,99.85979,779.6016
48684367.552,99.8839,780.0712
48684399.936,99.53513,780.2863
48684430.8096,99.61648,779.6662
48684482.624,99.55803,780.7932
48684510.8352,99.31912,780.0357
48684543.6544,99.31912,780.0357
48684562.2528,99.15563,779.7355
48684593.92,99.74567,780.5052
48684639.1552,99.57174,780.0552
48684672.1408,98.90482,779.0737
48684719.4496,99.21725,781.4137
48684751.5392,99.21725,781.4137
48684770.2016,99.39088,784.2466
48684799.8208,100.5694,786.6446
48684831.0144,99.89375,789.4393
48684881.7536,100.8045,788.6952
48684912.4352,101.0638,791.9113
48684943.0272,101.0638,791.9113
48684960.8192,99.48752,796.2488
48684991.8336,99.46386,797.2137
48685039.4112,100.2044,796.7787
48685070.8992,99.52234,799.1595
48685120.0768,99.5396,799.7386
48685153.5232,99.5396,799.7386
48685170.4832,99.67165,799.8929
48685199.872,98.95715,800.7592
48685233.1008,99.74795,801.0452
48685278.4896,100.3944,802.7783
48685312.9728,99.30611,801.1436
48685344.0384,99.30611,801.1436
48685361.1648,100.0068,801.9944
48685392.1152,99.39472,802.0762
48685440.0896,100.4933,802.7355
48685471.296,100.1099,802.4724
48685518.976,100.7683,801.7875
48685550.8864,100.7683,801.7875
48685568.0384,100.1857,804.0132
48685599.7056,99.18005,801.1572
48685632.6656,99.36156,801.3487
48685679.8464,98.60428,801.3389
48685712.1792,98.45097,807.3113
48685743.0144,98.45097,807.3113
48685761.0624,98.31977,806.8347
48685794.0608,98.49791,807.1592
48685838.6176,98.56486,807.1807
48685870.5152,98.07854,807.0018
48685919.1424,98.12946,806.6865
48685950.5408,98.12946,806.6865
48685968.0896,98.17013,806.8427
48685998.8736,98.65327,806.5857
48686033.0496,98.30791,807.0527
48686079.3472,98.65597,807.3876
48686111.8848,98.51309,807.3353
48686143.5008,98.51309,807.3353
48686160.192,98.59356,807.1063
48686192.5504,99.36799,805.3249
48686238.6688,98.87759,806.9445
48686271.2832,98.59102,807.3269
48686320.2432,98.64027,807.2969
48686352.2688,98.64027,807.2969
