FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1R
342,386.59424,1,0,0,0,0,0,0.00528823450587705,0.0133662100128784
343,386.610912,2,0,0,0,0,0,0.00479637237345693,0.0117673982400955
344,386.627552,1,0,0,0,0,0,0.00527332959277341,0.0133599278448125
345,386.644224,2,0,0,0,0,0,0.00479164292987597,0.0117783172464958
346,386.660896,1,0,0,0,0,0,0.00528192858110243,0.0133603765711029
347,386.677568,2,0,0,0,0,0,0.00480038523467714,0.0117899841300469
348,386.69424,1,0,0,0,0,0,0.00529611691184532,0.0133534961013164
349,386.71088,2,0,0,0,0,0,0.00479493920873543,0.0117579749879966
350,386.727552,1,0,0,0,0,0,0.0052886644552935,0.0133811675558926
351,386.744224,2,0,0,0,0,0,0.00479694563934553,0.0117497483393388
352,386.760896,1,0,0,0,0,0,0.00526071774322418,0.0133609748728235
353,386.777568,2,0,0,0,0,0,0.00478075087799254,0.0117412225398207
354,386.79424,1,0,0,0,0,0,0.00525068559017365,0.0133277691273321
355,386.81088,2,0,0,0,0,0,0.00480067186762144,0.0117747274361724
356,386.827552,1,0,0,0,0,0,0.00527662587163287,0.0133726417563745
357,386.844224,2,0,0,0,0,0,0.00477530485205082,0.011776372765904
358,386.860896,1,0,0,0,0,0,0.00527160979510761,0.0133901420817011
359,386.877568,2,0,0,0,0,0,0.00477802786502168,0.0117433165958427
360,386.894208,1,0,0,0,0,0,0.00527619592221642,0.0133736887843855
361,386.91088,2,0,0,0,0,0,0.00478906323337726,0.0117581245634267
362,386.927552,1,0,0,0,0,0,0.00527060657980255,0.0133982191549287
363,386.944224,2,0,0,0,0,0,0.0047851936886292,0.0117751761624628
364,386.960896,1,0,0,0,0,0,0.00527003331391395,0.0133757828404075
365,386.977536,2,0,0,0,0,0,0.00477917439679888,0.0117522911216512
366,386.994208,1,0,0,0,0,0,0.00527963551754803,0.0133883471765394
367,387.01088,2,0,0,0,0,0,0.00477014545905341,0.011741521690681
368,387.027552,1,0,0,0,0,0,0.00529396716476307,0.0133956763726163
369,387.044224,2,0,0,0,0,0,0.0047843337897963,0.0117524406970813
370,387.060896,1,0,0,0,0,0,0.00525957121144697,0.0133727913318047
371,387.077536,2,0,0,0,0,0,0.0047843337897963,0.0117292565054094
372,387.094208,1,0,0,0,0,0,0.00529912655776048,0.0133617227499742
